Season,Cause,Cause (English),Fires,Fires (%),Total (ha),Total (% of ha)
2015-2016,Quema de desechos,Burning of waste,320,4.72,774.11,1.84
2015-2016,Actividades recreativas,Recreational activities,308,4.54,5134.35,12.20
2015-2016,Incendios de causa desconocida,Fires of unknown cause,227,3.35,2009.99,4.78
2015-2016,Accidentes eléctricos,Electrical accidents,175,2.58,1530.22,3.64
2015-2016,"Actividades extinción incendios forestales, incendios estructurales u otros","Wildfire, structural and other fire suppression activities",95,1.40,1511.09,3.59
2015-2016,Otras actividades,Other activities,58,0.86,567.12,1.35
2015-2016,Confección y/o extracción productos secundarios del bosque,Gathering and processing of non-timber forest products,44,0.65,111.46,0.26
2015-2016,Incendios naturales,Natural fires,19,0.28,8.04,0.02
2015-2016,Operaciones en vías férreas,Railway operations,19,0.28,16.84,0.04
2015-2016,(no cause published),,4,0.06,1.24,0.00
2016-2017,"Tránsito de personas, vehículos o aeronaves","Movement of people, vehicles or aircraft",1962,37.49,79964.56,14.04
2016-2017,Incendios intencionales,Intentional fires,1687,32.23,152320.97,26.74
2016-2017,Faenas agrícolas y pecuarias,Agricultural and livestock operations,247,4.72,13173.81,2.31
2016-2017,Actividades recreativas,Recreational activities,229,4.38,14000.95,2.46
2016-2017,Faenas forestales,Forestry operations,220,4.20,4246.46,0.75
2016-2017,Incendios de causa desconocida,Fires of unknown cause,220,4.20,177439.97,31.15
2016-2017,Quema de desechos,Burning of waste,210,4.01,2484.10,0.44
2016-2017,Accidentes eléctricos,Electrical accidents,207,3.95,94349.11,16.56
2016-2017,Otras actividades,Other activities,115,2.20,31142.96,5.47
2016-2017,"Actividades extinción incendios forestales, incendios estructurales u otros","Wildfire, structural and other fire suppression activities",62,1.18,162.29,0.03
2016-2017,Confección y/o extracción productos secundarios del bosque,Gathering and processing of non-timber forest products,46,0.88,212.03,0.04
2016-2017,Incendios naturales,Natural fires,16,0.31,82.25,0.01
2016-2017,Operaciones en vías férreas,Railway operations,13,0.25,39.81,0.01
2017-2018,(specific cause only),,6048,100.00,38538.80,100.00
