0.0 0
0.01 5
0.02 6
0.03 6
0.04 6
0.05 6
0.06 6
0.07 6
0.08 6
0.09 7
0.1 7
0.11 7
0.12 7
0.13 7
0.14 7
0.15 7
0.16 7
0.17 7
0.18 7
0.19 7
0.2 7
0.21 8
0.22 8
0.23 8
0.24 8
0.25 8
0.26 8
0.27 9
0.28 9
0.29 9
0.3 9
0.31 9
0.32 9
0.33 9
0.34 9
0.35 9
0.36 9
0.37 9
0.38 9
0.39 9
0.4 9
0.41 9
0.42 9
0.43 9
0.44 9
0.45 9
0.46 9
0.47 9
0.48 10
0.49 10
0.5 10
0.51 10
0.52 10
0.53 10
0.54 10
0.55 10
0.56 10
0.57 10
0.58 10
0.59 10
0.6 10
0.61 10
0.62 10
0.63 10
0.64 10
0.65 10
0.66 11
0.67 12
0.68 12
0.69 12
0.7 12
0.71 12
0.72 13
0.73 13
0.74 13
0.75 13
0.76 13
0.77 13
0.78 14
0.79 14
0.8 14
0.81 15
0.82 15
0.83 15
0.84 16
0.85 16
0.86 17
0.87 17
0.88 18
0.89 18
0.9 19
0.91 19
0.92 20
0.93 21
0.94 22
0.95 27
0.96 27
0.97 31
0.98 33
0.99 37
1.0 217
