0.0 0
0.01 10
0.02 10
0.03 10
0.04 10
0.05 10
0.06 10
0.07 10
0.08 10
0.09 10
0.1 10
0.11 10
0.12 10
0.13 10
0.14 10
0.15 10
0.16 10
0.17 10
0.18 10
0.19 10
0.2 10
0.21 10
0.22 10
0.23 10
0.24 10
0.25 10
0.26 10
0.27 10
0.28 10
0.29 11
0.3 11
0.31 11
0.32 11
0.33 12
0.34 12
0.35 12
0.36 12
0.37 12
0.38 12
0.39 12
0.4 13
0.41 13
0.42 14
0.43 16
0.44 17
0.45 17
0.46 18
0.47 18
0.48 19
0.49 19
0.5 19
0.51 19
0.52 19
0.53 19
0.54 20
0.55 20
0.56 21
0.57 21
0.58 22
0.59 22
0.6 22
0.61 24
0.62 25
0.63 25
0.64 25
0.65 26
0.66 27
0.67 27
0.68 27
0.69 27
0.7 27
0.71 27
0.72 28
0.73 29
0.74 29
0.75 30
0.76 31
0.77 34
0.78 34
0.79 35
0.8 36
0.81 37
0.82 37
0.83 37
0.84 38
0.85 40
0.86 42
0.87 43
0.88 43
0.89 43
0.9 47
0.91 50
0.92 51
0.93 51
0.94 54
0.95 57
0.96 61
0.97 64
0.98 71
0.99 80
1.0 358
