0 "50-100" 181
1 "100-200" 216
2 "200-400" 186
3 "400-800" 198
4 "800-1.6K" 143
5 "1.6K-3.2K" 117
6 "3.2K-6.4K" 62
7 "6.4K-12.8K" 31
8 "12.8K-25.6K" 7
9 "25.6K-51.2K" 3
